Surface,Facet,Miller Indices,Database Source
Cr6Sc6,fcc,111,Catalysis-hub
Cr6Ta6,fcc,111,Catalysis-hub
Cr6Tc6,fcc,111,Catalysis-hub
Cr6Ti6,fcc,111,Catalysis-hub
Cr6V6,fcc,111,Catalysis-hub
Cr6W6,fcc,111,Catalysis-hub
Cr6Zn6,fcc,111,Catalysis-hub
Cr6Zr6,fcc,111,Catalysis-hub
Cu6Fe6,fcc,111,Catalysis-hub
Cu6Hf6,fcc,111,Catalysis-hub
Cu6Ir6,fcc,111,Catalysis-hub
Cu6La6,fcc,111,Catalysis-hub
Cu6Mn6,fcc,111,Catalysis-hub
Cu6Mo6,fcc,111,Catalysis-hub
Cu6Nb6,fcc,111,Catalysis-hub
Cu6Ni6,fcc,111,Catalysis-hub
Cu6Os6,fcc,111,Catalysis-hub
Cu6Pd6,fcc,111,Catalysis-hub
Cu6Pt6,fcc,111,Catalysis-hub
Cu6Re6,fcc,111,Catalysis-hub
Cu6Rh6,fcc,111,Catalysis-hub
Cu6Ru6,fcc,111,Catalysis-hub
Cu6Sc6,fcc,111,Catalysis-hub
Cu6Ta6,fcc,111,Catalysis-hub
Cu6Tc6,fcc,111,Catalysis-hub
Cu6Ti6,fcc,111,Catalysis-hub
Cu6V6,fcc,111,Catalysis-hub
Cu6W6,fcc,111,Catalysis-hub
Cu6Y6,fcc,111,Catalysis-hub
Cu6Zn6,fcc,111,Catalysis-hub
Cu6Zr6,fcc,111,Catalysis-hub
Fe6Hf6,fcc,111,Catalysis-hub
Fe6Hg6,fcc,111,Catalysis-hub
Fe6Ir6,fcc,111,Catalysis-hub
Fe6La6,fcc,111,Catalysis-hub
Fe6Ni6,fcc,111,Catalysis-hub
Fe6Os6,fcc,111,Catalysis-hub
Fe6Pd6,fcc,111,Catalysis-hub
Fe6Pt6,fcc,111,Catalysis-hub
Fe6Rh6,fcc,111,Catalysis-hub
Fe6Ru6,fcc,111,Catalysis-hub
Fe6Ta6,fcc,111,Catalysis-hub
Fe6Tc6,fcc,111,Catalysis-hub
Fe6Y6,fcc,111,Catalysis-hub
Fe6Zn6,fcc,111,Catalysis-hub
Fe6Zr6,fcc,111,Catalysis-hub
Hf6Hg6,fcc,111,Catalysis-hub
Hf6Ir6,fcc,111,Catalysis-hub
Hf6La6,fcc,111,Catalysis-hub
Hf6Mo6,fcc,111,Catalysis-hub
Hf6Nb6,fcc,111,Catalysis-hub
Hf6Ni6,fcc,111,Catalysis-hub
Hf6Os6,fcc,111,Catalysis-hub
Hf6Pd6,fcc,111,Catalysis-hub
Hf6Pt6,fcc,111,Catalysis-hub
Hf6Re6,fcc,111,Catalysis-hub
Hf6Rh6,fcc,111,Catalysis-hub
Hf6Ru6,fcc,111,Catalysis-hub
Hf6Sc6,fcc,111,Catalysis-hub
Hf6Ta6,fcc,111,Catalysis-hub
Hf6Tc6,fcc,111,Catalysis-hub
Hf6Ti6,fcc,111,Catalysis-hub
Hf6V6,fcc,111,Catalysis-hub
Hf6W6,fcc,111,Catalysis-hub
Hf6Y6,fcc,111,Catalysis-hub
Hf6Zn6,fcc,111,Catalysis-hub
Hf6Zr6,fcc,111,Catalysis-hub
Hg6Ir6,fcc,111,Catalysis-hub
Hg6La6,fcc,111,Catalysis-hub
Hg6Nb6,fcc,111,Catalysis-hub
Hg6Ni6,fcc,111,Catalysis-hub
Hg6Pd6,fcc,111,Catalysis-hub
Hg6Rh6,fcc,111,Catalysis-hub
Hg6Sc6,fcc,111,Catalysis-hub
Hg6Ta6,fcc,111,Catalysis-hub
Hg6Ti6,fcc,111,Catalysis-hub
Hg6Y6,fcc,111,Catalysis-hub
Hg6Zr6,fcc,111,Catalysis-hub
Ir6La6,fcc,111,Catalysis-hub
Ir6Mn6,fcc,111,Catalysis-hub
Ir6Mo6,fcc,111,Catalysis-hub
Ir6Nb6,fcc,111,Catalysis-hub
Ir6Ni6,fcc,111,Catalysis-hub
Ir6Os6,fcc,111,Catalysis-hub
Ir6Pd6,fcc,111,Catalysis-hub
Ir6Pt6,fcc,111,Catalysis-hub
Ir6Re6,fcc,111,Catalysis-hub
Ir6Rh6,fcc,111,Catalysis-hub
Ir6Ru6,fcc,111,Catalysis-hub
Ir6Sc6,fcc,111,Catalysis-hub
Ir6Ta6,fcc,111,Catalysis-hub
Ir6Tc6,fcc,111,Catalysis-hub
Ir6Ti6,fcc,111,Catalysis-hub
Ir6V6,fcc,111,Catalysis-hub
Ir6W6,fcc,111,Catalysis-hub
Ir6Y6,fcc,111,Catalysis-hub
Ir6Zn6,fcc,111,Catalysis-hub
La6Mn6,fcc,111,Catalysis-hub
La6Mo6,fcc,111,Catalysis-hub
La6Nb6,fcc,111,Catalysis-hub
La6Ni6,fcc,111,Catalysis-hub
La6Os6,fcc,111,Catalysis-hub
La6Pd6,fcc,111,Catalysis-hub
La6Pt6,fcc,111,Catalysis-hub
La6Re6,fcc,111,Catalysis-hub
La6Rh6,fcc,111,Catalysis-hub
La6Ru6,fcc,111,Catalysis-hub
La6Sc6,fcc,111,Catalysis-hub
La6Ta6,fcc,111,Catalysis-hub
La6Tc6,fcc,111,Catalysis-hub
La6Ti6,fcc,111,Catalysis-hub
La6V6,fcc,111,Catalysis-hub
La6W6,fcc,111,Catalysis-hub
La6Y6,fcc,111,Catalysis-hub
La6Zn6,fcc,111,Catalysis-hub
La6Zr6,fcc,111,Catalysis-hub
Mn6Mo6,fcc,111,Catalysis-hub
Mn6Nb6,fcc,111,Catalysis-hub
Mn6Ni6,fcc,111,Catalysis-hub
Mn6Pd6,fcc,111,Catalysis-hub
Mn6Pt6,fcc,111,Catalysis-hub
Mn6Re6,fcc,111,Catalysis-hub
Mn6Rh6,fcc,111,Catalysis-hub
Mn6Ru6,fcc,111,Catalysis-hub
Mn6Ta6,fcc,111,Catalysis-hub
Mn6W6,fcc,111,Catalysis-hub
Mn6Y6,fcc,111,Catalysis-hub
Mn6Zn6,fcc,111,Catalysis-hub
Mn6Zr6,fcc,111,Catalysis-hub
Mo6Nb6,fcc,111,Catalysis-hub
Mo6Ni6,fcc,111,Catalysis-hub
Mo6Os6,fcc,111,Catalysis-hub
Mo6Pd6,fcc,111,Catalysis-hub
Mo6Pt6,fcc,111,Catalysis-hub
Mo6Re6,fcc,111,Catalysis-hub
Mo6Rh6,fcc,111,Catalysis-hub
Mo6Ru6,fcc,111,Catalysis-hub
Mo6Sc6,fcc,111,Catalysis-hub
Mo6Ta6,fcc,111,Catalysis-hub
Mo6Tc6,fcc,111,Catalysis-hub
Mo6Ti6,fcc,111,Catalysis-hub
Mo6V6,fcc,111,Catalysis-hub
Mo6W6,fcc,111,Catalysis-hub
Mo6Y6,fcc,111,Catalysis-hub
Mo6Zn6,fcc,111,Catalysis-hub
Mo6Zr6,fcc,111,Catalysis-hub
Nb6Ni6,fcc,111,Catalysis-hub
Nb6Os6,fcc,111,Catalysis-hub
Nb6Pd6,fcc,111,Catalysis-hub
Nb6Pt6,fcc,111,Catalysis-hub
Nb6Re6,fcc,111,Catalysis-hub
Nb6Rh6,fcc,111,Catalysis-hub
Nb6Ru6,fcc,111,Catalysis-hub
Nb6Sc6,fcc,111,Catalysis-hub
Nb6Ta6,fcc,111,Catalysis-hub
Nb6Tc6,fcc,111,Catalysis-hub
Nb6Ti6,fcc,111,Catalysis-hub
Nb6V6,fcc,111,Catalysis-hub
Nb6W6,fcc,111,Catalysis-hub
Nb6Y6,fcc,111,Catalysis-hub
Nb6Zn6,fcc,111,Catalysis-hub
Nb6Zr6,fcc,111,Catalysis-hub
Ni6Os6,fcc,111,Catalysis-hub
Ni6Pd6,fcc,111,Catalysis-hub
Ni6Pt6,fcc,111,Catalysis-hub
Ni6Re6,fcc,111,Catalysis-hub
Ni6Rh6,fcc,111,Catalysis-hub
Ni6Ru6,fcc,111,Catalysis-hub
Ni6Ta6,fcc,111,Catalysis-hub
Ni6W6,fcc,111,Catalysis-hub
Ni6Y6,fcc,111,Catalysis-hub
Ni6Zn6,fcc,111,Catalysis-hub
Ni6Zr6,fcc,111,Catalysis-hub
Os6Pd6,fcc,111,Catalysis-hub
Os6Pt6,fcc,111,Catalysis-hub
Os6Re6,fcc,111,Catalysis-hub
Os6Rh6,fcc,111,Catalysis-hub
Os6Ru6,fcc,111,Catalysis-hub
Os6Sc6,fcc,111,Catalysis-hub
Os6Ta6,fcc,111,Catalysis-hub
Os6Tc6,fcc,111,Catalysis-hub
Os6Ti6,fcc,111,Catalysis-hub
Os6V6,fcc,111,Catalysis-hub
Os6W6,fcc,111,Catalysis-hub
Os6Y6,fcc,111,Catalysis-hub
Os6Zn6,fcc,111,Catalysis-hub
Os6Zr6,fcc,111,Catalysis-hub
Pd6Pt6,fcc,111,Catalysis-hub
Pd6Re6,fcc,111,Catalysis-hub
Pd6Rh6,fcc,111,Catalysis-hub
Pd6Ru6,fcc,111,Catalysis-hub
Pd6Sc6,fcc,111,Catalysis-hub
Pd6Ta6,fcc,111,Catalysis-hub
Pd6Tc6,fcc,111,Catalysis-hub
Pd6Ti6,fcc,111,Catalysis-hub
Pd6V6,fcc,111,Catalysis-hub
Pd6W6,fcc,111,Catalysis-hub
Pd6Y6,fcc,111,Catalysis-hub
Pd6Zn6,fcc,111,Catalysis-hub
Pd6Zr6,fcc,111,Catalysis-hub
Pt6Re6,fcc,111,Catalysis-hub
Pt6Rh6,fcc,111,Catalysis-hub
Pt6Ru6,fcc,111,Catalysis-hub
Pt6Sc6,fcc,111,Catalysis-hub
Pt6Ta6,fcc,111,Catalysis-hub
Pt6Tc6,fcc,111,Catalysis-hub
Pt6Ti6,fcc,111,Catalysis-hub
Pt6V6,fcc,111,Catalysis-hub
Pt6W6,fcc,111,Catalysis-hub
Pt6Y6,fcc,111,Catalysis-hub
Pt6Zn6,fcc,111,Catalysis-hub
Pt6Zr6,fcc,111,Catalysis-hub
Re6Rh6,fcc,111,Catalysis-hub
Re6Ru6,fcc,111,Catalysis-hub
Re6Sc6,fcc,111,Catalysis-hub
Re6Ta6,fcc,111,Catalysis-hub
Re6Tc6,fcc,111,Catalysis-hub
Re6Ti6,fcc,111,Catalysis-hub
